CollectionName,CollectionTitle,CollectionType,WidgetId,WidgetTitle,WidgetName,WidgetPosition,WidgetInventoryType,PageName,PageId,PageTitle,SolrQuery,CreatedAt,UpdatedAt
commerce_hdfccover,,static,6a6c4920-5cdb-4edc-805f-3132ca54bf49,Save 90% upto 200!,commerce_hdfccover,1,vertical_image,Manan Test Page,006ddff3-9c8f-4a8e-a102-e99d1c9a69b6,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_roabasedhighbalancehdfc,,static,564d8cf1-182f-4027-b86b-1e49fc4bb300,Save big on Online brands!,commerce_roabasedhighbalancehdfc,-1,one_click_widget,Manan Test Page,006ddff3-9c8f-4a8e-a102-e99d1c9a69b6,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclicknewuser70hdfc,,static,0b9de82f-fec3-4887-8710-2549636df9bf,1-Click to Get 90% OFF on Your First Home Delivery,commerce_oneclicknewuser70hdfc,-1,one_click_widget,Manan Test Page,006ddff3-9c8f-4a8e-a102-e99d1c9a69b6,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_coverfashionpage,,static,0c949820-49a0-415b-9a32-627ab91707cf,Top selling fashion brands!,commerce_coverfashionpage,1,vertical_image,Men's Special Categories!,02ee46e9-a727-4da5-8590-fb1dcdf9ed8a,Fashion guide for Men,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_fashionmenpage,,static,310eae5f-6191-4260-a115-1475d95c2f0b,Men's Special Categories!,commerce_fashionmenpage,2,medium_rectangle_collection,Men's Special Categories!,02ee46e9-a727-4da5-8590-fb1dcdf9ed8a,Fashion guide for Men,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_magicordernewfnbbrands,,dynamic,0c49e37e-d158-488a-88d2-0fc058d5afed,What's New on magicpin Today?,search_collection_magicordernewfnbbrands,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=m_category_id:1&fq=magicpay_enabled:true&fq=collection_tags:newadd",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_trendingvouchers,,dynamic,5e02bfa2-deb5-40b3-b2b7-e939d2b5e5c1,Savings by Your Friends,Savings by your friends.,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=5",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_roabasedonlinerepeat,,static,662d8d5a-73fc-40a1-aa4c-9c3421b75a14,Exclusive Online Vouchers!,commerce_roabasedonlinerepeat,-1,one_click_widget,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_dummy,,dynamic,6c80c2a2-1d3a-4ae3-ae26-ca5ef7f19087,Group Buys of people you follow,URL_ACTIVEGROUPBUY_REDEEM,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_foodmusthaves,,static,7407d843-a6f9-4ed0-b8ee-56d5ca275ae8,Popular Cuisines,Popular Cuisines Redeem,-1,small_rectangle_brand,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_recentlyviewed,,dynamic,796b5ca1-89b8-465a-9756-15d4b85becbd,You Recently Viewed,Recently Viewed Widget,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_redeemmagicorder,,static,975fa92c-b4ec-4684-a9a0-e0a47c5c73e4,Get Everything Home Delivered,commerce_redeemmagicorder,-1,medium_rectangle_collection,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_retailbrandcollection,,static,d6ff987f-8d3c-40ff-92bb-7678877ac22e,Spring-Summer Essentials For Everyone!,commerce_retailbrandcollection,-1,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_roabasedonlinenux,,static,d7e9848a-6619-413d-80df-22a1653723e7,Save Big on these Exclusive Online Vouchers!,commerce_roabasedonlinenux,-1,extra_medium_rectangle_dynamic,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_productsku,,static,ea3afaa7-39af-4af7-ba31-cb6a7c08e54b,The Best of Our Online Brands!,commerce_productsku,-1,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_nightlifereopen2,,dynamic,d68c592b-76e5-40b6-a957-77055cf991b9,Nightlife is Back - Go Out!,search_collection_nightlifereopen2,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=20&fq=m_category_id:1&fq=(primary_subcategory:(Nightlife OR Lounge) OR collection_tags:high_aov)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclickgrowthinfluencer,,static,fa334ed1-351b-4127-933e-6b2f50c3031a,1-Click to Avail 90% OFF on Your First Home Delivery,commerce_oneclickgrowthinfluencer,1,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_newgrowthcampaign,,static,dccd6c51-e5e0-4898-ba5b-1f4be789b4a5,Manan/Pranay Influencer Growth Campaign,commerce_newgrowthcampaign,2,feed_top_type_banner,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_redeemcategory,,static,9ada4715-7dc1-49c6-9f68-7cfb80e12b4b,Redeem Category Icons,commerce_redeemcategory,3,category_banner,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_pharmadel,,dynamic,3db3fd93-74c2-48e2-a4cb-0184c728b9c7,URL_BANNERS_VOUCHER,URL_BANNERS_VOUCHER,4,hb,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"d=3&fl=is_local_merchant,option_cities,voucher_merchant_user_id,merchant_name,m_cover_pic,m_locality,option_text,min_coupon_amount,latlon,redemption_option_id,voucher_count,merchant_rating,logo_url,country,magicpay_usable_balance_percent,primary_subcategory,category,cost_for_two,max_percent_off_without_groupbuy_city_map,max_voucher_usable_percent_city_map,voucher_app_shadowed_map_list,menuPrice,coupon_amount,is_hidden,is_groupbuy_active,group_reward,option_id,redemption_option_amount_id,avg_spent,source,last_redemption_time&fq=is_parent_merchant:false&fq=voucher_merchant_user_id:(NOT(7599574 OR 1012996 OR 7910935 OR 3147405 OR 3147006 OR 6487425 OR 6168691 OR 7317693 OR 191455))&fq=is_app_shadowed:0&fq=country:India&fq=collection_tags:*pharmadel*&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&q=*:*&rows=100&sfield=latlon&sort=geodist()+asc&wt=json",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
